Country,latitude,longitude,1994,1998,2002,2006,2010,2014,2018,2022
American Samoa,-14.333216,-17.778926,2,,,,,,,1
Albania,40.647186,20.127352,,,,1,1,2,2,1
Algeria,2.789689,3.379277,,,,2,1,,,
Andorra,42.547076,1.576286,6,3,3,3,6,6,5,5
Argentina,-33.528049,-64.168459,10,2,11,9,7,7,7,6
Armenia,40.474724,4.480561,2,7,9,5,4,4,3,6
Australia,-23.992438,134.050443,25,23,27,40,40,61,50,44
Austria,47.522617,14.143702,80,96,90,85,81,130,105,106
Azerbaijan,40.402387,47.210994,,4,4,2,2,4,1,2
Belarus,53.832259,2.843651,33,59,64,28,51,26,33,29
Belgium,50.780688,4.792712,5,1,6,4,8,7,22,19
Bermuda,32.296698,-64.764346,1,1,1,1,1,1,1,
Bolivia,-16.640652,-64.661,928,,,,,,,2
Bosnia and Herzegovina,44.091039,1.806843,10,8,2,6,5,5,4,6
Brazil,-11.928923,-49.542449,1,1,10,10,5,13,9,10
British Virgin Islands,18.426606,-6.463661,,,,,,1,,
Bulgaria,42.501868,25.176846,17,19,23,21,19,18,21,16
Cameroon,4.585076,12.473672,,,1,,,,,
Canada,5.833747,-112.384858,95,144,150,196,206,222,225,215
Cayman Islands,19.319996,-81.230744,,,,,1,1,,
Chile,-38.165295,-72.288079,3,3,6,9,3,6,7,4
China,32.523743,106.431983,24,55,66,76,90,66,80,176
Colombia,3.420497,-73.166783,,,,,1,,4,3
Costa Rica,10.068183,-84.028584,,,1,1,,,,
Croatia,45.805356,16.375139,3,6,14,23,19,11,19,11
Cyprus,34.881852,33.011051,1,1,1,1,2,2,1,1
Czech Republic,4.988233,15.377705,63,60,76,85,92,85,93,113
Denmark,55.966966,9.018163,4,12,11,5,18,12,17,62
Dominica,15.460196,-61.356841,,,,,,2,,
Timor-Leste,-8.801828,125.866054,,,,,,,1,1
Ecuador,-1.241567,-78.322784,,,,,,,1,1
Eritrea,15.817362,38.267404,,,,,,,1,1
Estonia,58.722853,25.867131,26,20,17,26,30,24,22,26
Ethiopia,7.996115,38.896778,,,,,1,,,
Fiji,-17.834016,177.972004,1,,1,1,,,,
Finland,63.252357,27.276469,61,85,98,102,95,103,100,95
France,46.698481,2.549047,98,106,114,89,108,105,106,86
Georgia,3.253951,-83.380775,5,4,4,3,6,4,4,9
Germany,51.196755,9.62743,112,125,157,164,153,153,156,149
Ghana,7.85125,-0.982714,,,,,,,1,1
Great Britain,28.598323,77.193239,32,34,49,40,52,56,58,50
Greece,3.978331,21.708535,9,13,10,5,7,7,4,5
Haiti,-34.912318,-54.963657,,,,,,,,1
Hong Kong,2.228552,11.415769,,,2,1,1,1,1,3
Hungary,47.086857,19.447899,16,17,25,20,16,16,19,14
Iceland,64.779262,-18.673522,5,7,6,5,4,5,5,5
India,22.412321,79.132924,,1,1,4,3,3,2,1
Iran,31.931398,55.245317,,1,2,2,4,5,4,3
Ireland,53.078731,-7.798618,,6,6,4,7,5,5,6
Israel,30.902941,34.860794,1,3,5,5,3,5,10,6
Italy,44.732552,11.077303,104,112,112,184,109,113,120,118
Jamaica,4.070009,-73.795405,4,6,2,,1,2,3,7
Japan,3.613793,138.441899,57,156,103,112,94,113,124,124
Kazakhstan,48.401963,69.258345,29,60,50,56,38,52,46,34
Kenya,0.543716,37.918308,,1,1,1,,,1,
North Korea,40.248916,126.699424,,8,,6,2,,10,
South Korea,36.382192,128.123986,21,37,48,40,46,71,122,64
Kosovo,42.590239,20.875449,,,,,,,1,2
Kyrgyzstan,4.168268,74.524734,1,1,2,1,2,1,2,1
Latvia,5.706689,25.458464,27,29,47,58,59,58,34,57
Lebanon,34.095838,3.595658,,,,3,3,2,3,3
Liechtenstein,47.111405,9.559439,10,8,8,6,7,4,3,
Lithuania,55.103703,24.089932,6,7,8,7,8,9,9,13
Luxembourg,49.759178,6.086636,1,1,,1,,1,1,2
Macedonia,41.569245,21.547313,,3,2,3,3,3,3,
Madagascar,-18.628414,46.704055,,,,,,,1,2
Malaysia,2.521947,113.833569,,,,,,,2,2
Malta,35.888972,14.431432,,,,,,1,1,1
Mexico,23.920061,-102.289691,1,,3,,1,1,4,4
Moldova,47.435,28.487904,2,2,5,7,7,4,2,5
Monaco,43.739652,7.398291,5,4,5,4,3,5,4,3
Mongolia,4.599339,104.159557,1,3,4,2,2,2,2,2
Montenegro,42.782845,19.157424,,,,,1,2,3,3
Morocco,31.649504,-7.189711,,,,,1,2,2,1
Nepal,28.323184,8.360374,,,1,1,1,1,,
Netherlands,51.634494,4.400394,21,22,27,35,34,41,34,41
New Zealand,-45.175323,169.232531,7,8,10,18,16,15,21,15
Nigeria,9.404974,7.607418,,,,,,,3,1
North Macedonia,41.569245,21.547313,,,,,,,,3
Norway,61.356908,9.680372,88,76,77,81,99,134,109,84
Pakistan,29.328493,68.546268,,,,,1,1,2,1
Paraguay,-38.712336,-62.273913,,,,,,1,,
Peru,-1.298078,-72.876651,,,,,3,3,,1
Philipphines,16.932122,121.387948,,,,,,1,2,1
Poland,51.899304,20.388926,28,39,27,48,50,59,62,57
Portugal,39.225448,-8.266333,1,2,,1,1,2,2,3
Puerto Rico,18.234668,-66.481065,5,6,2,,,,1,2
Romania,45.727469,24.984652,23,16,21,25,29,24,27,21
Russia,63.314401,93.884016,113,122,151,178,177,232,168,212
San Marino,43.934066,12.462139,3,,1,1,1,2,1,2
Saudi Arabia,23.806678,44.700847,,,,,,,,1
Senegal,15.13855,-14.768082,1,,,1,1,,,
Serbia and Montenegro,9.017004,38.767057,,,,6,10,8,4,2
Singapore,52.513359,5.067018,,,,,,,1,
Slovakia,48.752408,19.201811,42,37,49,62,73,62,56,50
Slovenia,46.068735,14.932759,22,34,40,36,50,66,71,414
South Africa,-29.708985,23.666291,2,2,1,3,2,,1,
Spain,40.09095,-3.464618,13,12,7,16,18,20,13,14
Sweden,65.859144,19.017205,84,99,102,112,106,106,116,116
Switzerland,46.730219,7.509687,59,69,110,143,146,168,166,167
Chinese Taipei,25.058464,121.549514,2,7,6,1,1,3,4,4
Tajikistan,38.185311,72.571946,,,1,1,1,1,,
Thailand,15.512883,101.301707,,,1,1,,2,4,4
Togo,8.846267,1.073832,,,,,,2,1,
Tonga,-21.230852,-17.514127,,,,,,1,1,
Trinidad and Tobago,10.435364,-61.264793,2,2,2,,,,,2
Turkey,39.339547,34.51052,1,1,3,6,5,6,8,7
Ukraine,49.219469,33.023452,37,56,68,53,47,43,33,45
United States,39.715956,-96.999668,147,186,202,204,216,222,241,224
Uruguay,19.486486,-99.269385,,1,,,,,,
Uzbekistan,41.726948,63.960684,7,4,6,4,3,3,2,1
Venezuela,7.18646,-64.568705,,1,4,1,,1,,
Virgin Islands,17.73951,-64.783592,8,7,8,1,,1,,1
FR Yugoslavia,44.251791,20.589197,,2,6,,,,,
Zimbabwe,-18.919508,29.946601,,,,,,1,,
